시도명,시군구명,시군구코드,도로명,허용 시작 구간 위도,허용 시작 구간 경도,허용 끝 구간 위도,허용 끝 구간 경도,주차가능대수,평일주정차 허용여부,평일주정차허용시간,주말 공휴일 주정차 허용여부,주말 공휴일주정차 허용시간,관리기관명,관리기관전화번호,데이터기준일
인천광역시,중구,28110,은하수로,37.492322,126.576473,37.491748,126.582223,100,N,,Y,00:00~23:59,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,하늘별빛로,37.494568,126.556014,37.485681,126.569583,320,N,,Y,00:00~23:59,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,하늘중앙로,37.483511,126.554907,37.499638,126.573165,500,N,,Y,00:00~23:59,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,하늘달빛로,37.487108,126.556926,37.481611,126.565283,190,N,,Y,00:00~23:59,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,하늘달빛로2번길,37.481611,126.565283,37.485681,126.569583,120,N,,Y,00:00~23:59,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,자연대로,37.489244,126.558916,37.486318,126.563446,100,N,,Y,00:00~23:59,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,미단중앙로,37.516334,126.532575,37.524166,126.511106,220,N,,Y,00:00~23:59,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,미단행운로,37.523516,126.52772,37.527477,126.517781,600,N,,Y,00:00~23:59,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,영종순환로,37.507378,126.499704,37.520444,126.538811,1120,N,,Y,00:00~23:59,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,햇내로,37.507378,126.499704,37.492955,126.498828,220,N,,Y,00:00~23:59,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,큰말로,37.474203,126.522387,37.474203,126.522387,380,N,,Y,00:00~23:59,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,넙디로,37.483284,126.508388,37.486182,126.505945,74,Y,20:00~07:00,Y,00:00~23:59,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,흰바위로,37.47695,126.511626,37.490842,126.49372,520,N,,Y,00:00~23:59,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,영종대로,37.493567,126.496889,37.499474,126.57375,1840,N,,Y,00:00~23:59,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,공항동로296번길 ,37.487654,126.473873,37.475372,126.483003,500,N,,Y,00:00~23:59,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,자유무역로,37.480871,126.475639,37.47771,126.48276,500,N,,Y,00:00~23:59,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,자유무역로107번길,37.482345,126.474403,37.487318,126.48325,640,N,,Y,00:00~23:59,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,용유서로,37.44655,126.375048,37.459131,126.371854,280,Y,20:00~07:00,Y,00:00~23:59,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,흰바위로27번길,37.495167,126.488164,37.492758,126.488111,40,Y,09:00~22:00,Y,09:00~22:00,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,신도시남로141번길,37.49395,126.49038,37.493975,126.488191,40,Y,09:00~22:00 ,Y,09:00~22:00,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,하늘달빛로26번길,37.483012,126.563145,37.48707,126.567394,116,N,,Y,00:00~23:59,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,신도시남로149번길,37.494705,126.488136,37.494663,126.490408,20,Y,09:00~22:00,Y,09:00~22:00,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,신도시남로150번길,37.494669,126.49056,37.494473,126.493249,19,Y,09:00~22:00,Y,09:00~22:00,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,흰바위로,37.492384,126.490321,37.492475,126.488671,10,Y,09:00~22:00 ,Y,09:00~22:00,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,은하수로29번길,37.492006,126.578827,37.491671,126.582243,170,N,,Y,00:00~23:59,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,은하수로43번길,37.492187,126.577165,37.491564,126.578659,20,N,,Y,00:00~23:59,인천광역시 중구청,032-760-7754,2023-09-20
인천광역시,중구,28110,제물량로,37.472625,126.619605,37.470178,126.623866,74,N,,Y,00:00~23:59,인천광역시 중구청,032-760-7684,2023-09-20
인천광역시,중구,28110,제물량로,37.470043,126.625972,37.470058,126.62724,10,Y,09:00~17:00,N,,인천광역시 중구청,032-760-7684,2023-09-20
인천광역시,중구,28110,우현로,37.470144,126.627578,37.475047,126.631217,90,Y,22:00~06:00,Y,00:00~23:59,인천광역시 중구청,032-760-7684,2023-09-20
인천광역시,중구,28110,참외전로,37.475075,126.631299,37.473104,126.634721,40,N,,Y,09:00~22:00,인천광역시 중구청,032-760-7684,2023-09-20
인천광역시,중구,28110,제물량로,37.46931,126.629253,37.466901,126.634035,87,Y,22:00~06:00,Y,00:00~23:59,인천광역시 중구청,032-760-7684,2023-09-20
인천광역시,중구,28110,연안부두로,37.453305,126.598546,37.457122,126.605085,97,N,,Y,06:00~22:00,인천광역시 중구청,032-760-7684,2023-09-20
인천광역시,중구,28110,축항대로 87번길 ,37.456676,126.607325,37.458313,126.609593,57,N,,Y,06:00~22:00,인천광역시 중구청,032-760-7684,2023-09-20
인천광역시,중구,28110,축항대로 118번길,37.452333,126.608162,37.449939,126.606622,35,N,,Y,09:00~22:00,인천광역시 중구청,032-760-7684,2023-09-20
인천광역시,중구,28110,축항대로,37.454947,126.610576,37.45333,126.614562,22,N,,Y,06:00~18:00,인천광역시 중구청,032-760-7684,2023-09-20
인천광역시,중구,28110,월미로,37.475884,126.605613,37.467626,126.604557,71,N,,Y,06:00~22:00,인천광역시 중구청,032-760-7684,2023-09-20
인천광역시,중구,28110,연안부두로33번길,37.453875,126.605491,37.453374,126.606815,20,Y,00:00~08:00,Y,00:00~23:59,인천광역시 중구청,032-760-7684,2023-09-20
