연번,도로명,구간,길이,지정구분,지정유형,지정내용,관할동,데이터기준일
1,구월로,구월로268 →구월로284,일면 200m,허용,점심,"12:00~14:00(점심/평일,공휴일)",구월4동,2023-09-20
2,남동대로,1) 간석동211-3 → 간석동214-28+2) 간석동275-1 → 간석동277-1,1) 일면 180m+2) 일면 120m,허용,야간,"21:00 ~ 06:00(야간/평일,공휴일)",간석2동,2023-09-20
2,남동대로 239번길 ,외환은행↔공단본부 앞 ,총(양면) 900m/ 일면450m,금지,출퇴근,07:00~09:00 18:00~20:00 공휴일제외,논현2동,2023-09-20
3,남동대로 667번길 ,인천터미널앞↔남동경찰서 앞,총(양면) 900m/ 일면450m,허용,야간,심야시간주차허용 24:00~05:00,구월3동,2023-09-20
4,남동대로916번길,삼익목화아파트(간2복지센터)→유영아파트,일면 380m,금지,야간,07:00∼20:00/ 공휴일제외,간석2동,2023-09-20
5,논현고잔로168번길 ,논현고잔로168번길+(논현고잔동) 한화기념관 일원,양측 180m,허용,주간,"시간제(09:00~17:00,공휴일)+주정차허용",논현고잔동,2023-09-20
6,논현로,논현로220→논현로42(홈플러스 슈퍼),일면 90m,허용,점심,12:00~14:00(점심시간),논현2동,2023-09-20
7,논현로 46번길 ,토지주택공사앞→청능대로입구,일면 250m,금지,출퇴근,"07:00~09:00, 18:00~20:00/ 공휴일제외",논현2동,2023-09-20
8,담방로,장승남로61(담방로4) ↔담방로62(동남주유소),양면 400m(일면200m),허용,점심,12:00~14:00(점심시간),만수6동,2023-09-20
9,만수서로,만수서로46(만수2동 주민센터)→만수서로66(새마을금고),일면 240m,허용,점심,12:00~14:00(점심시간),만수2동,2023-09-20
10,만의골로,서울외곽순환고속도밑↔9공수부대,총(양면) 800m/일면400m,금지,주간,06:00∼20:00/ 공휴일 제외,장수서창동,2023-09-20
11,만의골로 189번길,만의골 입구→대공원후문 입구,총(양면) 700m/ 일면350m,허용,평일/주말야간,"평일주차허용/ 주말00:00∼09:00, 18:00~00:00",장수서창동,2023-09-20
12,매소홀로,선수촌4(가로등 매소홀로 우-37) ~ +매소홀터널 남측일면(가로등 매소홀로 우-44),일면 220m,허용,점심,12:00~14:00(점심시간),구월1동,2023-09-20
13,문화로,문예회관 정문→중앙공원사거리,일면 160m,허용,출퇴근,09:00∼18:00 /20:00~익일07:00/공휴일포함 ,구월3동,2023-09-20
14,문화로,올림픽공원사거리→문예회관 정문,일면 180m,허용,출퇴근,09:00∼18:00 /20:00~익일07:00/공휴일포함 ,구월3동,2023-09-20
15,서창방산로133번길,서창동 83-114 ↔ 서창동 745,총(양면)680m/ 일면340m,허용,점심/주말,조업주차(10:00~17:00)+1.5톤이하 화물차 15분이내+점심(12:00~14:00)+주말 공휴일(전일허용),장수서창동,2023-09-20
16,서창남로,서창동 679-2 장서4거리 ↔+ 서창동663-1 장아4거리,양면 650m,허용,점심/주말,조업주차(10:00~17:00)+1.5톤이하 화물차 15분이내+점심(12:00~14:00)+주말 공휴일(전일허용),장수서창동,2023-09-20
17,소래로,소래포구사거리(아치형조형물 10m 후 →+ 논현동111-244(공영새우화장실 앞,일면 390m,허용,주간,주말 공휴일(07:00~21:00),논현1동,2023-09-20
18,소래역로,소래포구 입구↔소래포구종합어시장,총(양면) 300m/ 일면 150m,허용,주간,주말 공휴일 09:00∼21:00 ,논현1동,2023-09-20
19,수인로,장자골사거리 버스정류장↔치아고개 삼거리,"양면 1,440m(일면720m)",허용,주간,"07:00~21:00(주말 , 공휴일)",장수서창동,2023-09-20
20,수현로,삼부아파트↔수현삼거리,"총(양면) 2,000m/ 일면1,000m",금지,평일,00:00~24:00 (공휴일 제외)+금지차종 : 1.4t이상 화물차,장수서창동,2023-09-20
21,앵고개로,구생태다리 앞(가로등제어함)→+드림교회 건너편(도로 이정표),일면 300m(140+160),허용,주말,"07:00~22:00(주말, 공휴일)",논현고잔동,2023-09-20
22,연남로,농산물시장입구→농산물시장사거리,일면 280m,금지,주간,07:00~23:00,구월3동,2023-09-20
23,예술로 140번길,예술로138(이토타워) → 성말로13번길 20(문화주차장),일면 140m,허용,점심,12:00~14:00(점심시간),구월3동,2023-09-20
25,용천로,간석우체국↔정도타워빌,일면 200m,금지,주간,07:00∼20:00/ 공휴일제외 상시금지차종 1.4t이상 화물차,간석2동,2023-09-20
26,용천로,석산로205(배꼽시계)→용천로140(가족보건의원),일면 150m,허용,점심,12:00~14:00(점심시간),간석2동,2023-09-20
27,은봉로,하나비전교회와 논현포대근린공원 사이,양면480m(일면 240m),허용,주간,공휴일 06:00~22:00,논현2동,2023-09-20
28,인주대로914번길,인주대로914번길 42 인천도시개발공사 +(만수동1089-7 ~ 만수동1093),양면 230m,금지,주간,"주정차금지시간 07:00~20:00+단 주말, 공휴일 제외",만수6동,2023-09-20
29,인하로 ,농산물시장사거리→남동경찰서사거리,일면 250m,허용,야간,00:00∼05:00 ,구월3동,2023-09-20
30,호구포로,호구포로212(BBQ앞)→호구포로220(기아자동차),일면 90m,허용,점심,12:00~14:00(점심시간),논현2동,2023-09-20
31,은봉로 166번길+(2021.8차 심의 신규),근린공원 측면,일면 400m,허용,야간,20:00~익일07:00,논현2동,2023-09-20
32,남촌로124번길,새남촌공영주차장 측면,일면 320m,허용,야간,20:00~익일07:00,남촌도림동,2023-09-20
33,호구포로 201+,호구포로 201 상가 앞 횡단보도와 횡단보도 사이,양면 120m,허용,야간,20:00~익일07:00,논현2동,2023-09-20
34,경원대로939번길+,현광아파트 가동 앞 (간석한신더휴 측면),일면 80m,허용,야간,20:00~익일08:00,간석4동,2023-09-20
